0,16777215,-,-
16777216,16777471,US,United States of America
16777472,16778239,CN,China
16778240,16779263,AU,Australia
16779264,16781311,CN,China
16781312,16785407,JP,Japan
16785408,16793599,CN,China
16793600,16809983,JP,Japan
16809984,16842751,TH,Thailand
16842752,16843007,CN,China
16843008,16843263,US,United States of America
16843264,16859135,CN,China
16859136,16875519,JP,Japan
16875520,16908287,TH,Thailand
16908288,16909055,CN,China
16909056,16909311,AU,Australia
16909312,16941055,CN,China
16941056,16973823,TH,Thailand
16973824,17039359,CN,China
17039360,17039615,AU,Australia
17039616,17072127,CN,China
17072128,17104895,TH,Thailand
17104896,17170431,JP,Japan
17170432,17301503,IN,India
17301504,17367039,CN,China
